用户昵称,性别,评论内容,被回复用户,评论层级,用户当前等级,点赞数量,回复时间
闲本人,男,狗也死了，因为狗子太大胆，猫就是自己傻死,,1级评论,5,2,2025-03-28 18:42:27
小梦骚,男,猫喜欢钻车底盘，人又不知道，车开一半猫从车下掉到马路上，就容易被车压成猫饼,,1级评论,6,2,2025-03-28 17:51:47
Armedriot,保密,狗饼刷新率看地区的，大街上肯定会有各种饼，但我们这个地区因为流浪猫基本绝迹，所以狗饼刷新比较多,,1级评论,4,2,2025-03-28 13:30:27
咸鱼螺旋360度翻身,男,过年回家短短两百公里路看到八个狗饼怎么说？,,1级评论,6,2,2025-03-28 13:20:19
尅尔罗夫斯基,保密,狗知道跑，猫非得在我靠近时唰一下窜[藏狐][藏狐][藏狐][藏狐][藏狐][藏狐][藏狐][藏狐]当然也有会躲的……,,1级评论,6,2,2025-03-27 09:28:28
渡鸣晨,保密,狗太大了，压了全是碎肉很恐怖，要抓紧处理。猫毛长，体积大实则全是水分，压扁了就真的像是二维了似的。,,1级评论,6,2,2025-03-26 10:28:49
绿箩奥斯曼帝国,男,七八十斤一百斤大狗普通小轿车压不上的，一般就是创飞，压上了也压不爆，压扁估计得是卡车了,渡鸣晨,2级评论,5,0,2025-03-28 23:47:43
leeccjjh,保密,狗饼也是有的 比率大概10比3吧,,1级评论,5,2,2025-03-26 08:11:53
哭了枯了a,保密,《反方向的猫》也是造就猫饼的原因之一[笑哭],,1级评论,5,2,2025-04-04 13:00:21
劐繆蟦,男,猫是直接冲，以为自己能跑的过车,,1级评论,4,2,2025-04-04 08:33:42
小柴快要没钱了,保密,路面坑坑洼洼，小猫填填补补[微笑],,1级评论,4,2,2025-04-02 08:19:09
你敢惹我生气,保密,狗好养  给啥吃啥   猫这东西太馋   说白了就是长着贱筋,,1级评论,4,2,2025-04-01 10:27:29
幻影F号,男,我们家上只猫在小猫仔还没断奶的时候就被车死了。,,1级评论,5,2,2025-03-30 20:18:40
头足纲烹饪大师,保密,我还真看到过狗过红绿灯，有些贼聪明，比一些人还守交规，不守的大概都被创死了，留下的都是会过马路的。,,1级评论,6,2,2025-03-30 11:30:21
ttzhimao,保密,自然选择,头足纲烹饪大师,2级评论,5,0,2025-03-30 11:32:57
入间叁,男,简单点说就是猫太笨了[笑哭]，苏州这里高架上我一直能看到猫饼，之前还有说法是境外虐猫人士扔猫到高架上拍视频所以死的，后来我经常看到猫路过高架口被车吓到拼命往高架里面跑我就明白问题出在哪里了[笑哭],,1级评论,6,2,2025-03-30 09:06:20
珺ao,男,猫太傻了，看到车过来吓一跳，死活都得跑到马路对面，狗知道躲着知道站着等你走，我上次开车正常行驶，左边草丛突然出来一个猫往右跑，前面的车直接就撞上去了，然后那个猫躺地上奄奄一息头抬不起来，我躲开后，我后面那个车直接爆汁了,,1级评论,6,2,2025-03-30 04:22:24
舰伥,保密,鸡哥都会等红绿灯，哈基米的进化真是失败,,1级评论,6,2,2025-03-29 19:29:40
丶Beowulf,男,我有一次去洗澡看到脑袋被创的稀碎的猫，身体一直在抽搐,,1级评论,6,2,2025-03-28 23:47:52
秦始皇广州分皇,保密,那是在跳街舞[小A和小B_喝茶],丶Beowulf,2级评论,6,0,2025-03-29 06:54:30
心灵鸡汤泡大的,保密,社会化程度越高的动物，一般智力也就越高。,,1级评论,6,2,2025-03-28 20:25:13
V神1号,保密,因为流浪狗都被抓了呀,,1级评论,4,2,2025-03-28 18:14:30
V神1号,保密,我会因为自己的体型数量而对别人的尊重而低或降高,V神1号,2级评论,4,1,2025-03-28 18:14:46
石-乐-智,男,"看到过一次，在开混凝土搅拌车回站的路上看到路中间有东西，
停下我开的12轮货车下去看了看，像一个煮烂的饺子，棕色外皮红色馅，主体结构还在 但已经只能称为一滩了。
拍了个照片警醒自己",,1级评论,6,2,2025-03-28 17:06:02
柴郡柴郡柴ナ,保密,世界破破烂烂，小猫缝缝补补,,1级评论,6,2,2025-03-28 15:20:59
路人-丙丙丙丙丙,男,干外卖，狗饼猫饼鼠饼鸟饼都见过，有的兄弟还说看到过人饼，希望我看不到……,,1级评论,4,2,2025-03-28 14:03:01
阿狸小贝贝,女,过去在B站车祸视频里有不打码的人饼视频，近几年没了,路人-丙丙丙丙丙,2级评论,2,0,2025-03-29 18:56:36
2800RPM,保密,乡镇去县城经常见到狗饼，只是狗饼太大也太臭，所以优先级处理罢了,,1级评论,6,2,2025-03-28 10:04:51
張大彪,保密,我看见过很多野狗子等红灯的。不等红灯的狗子已经被汽车淘汰了,,1级评论,6,2,2025-03-26 12:25:50
西部婚纱悍匪,男,高速上狗饼和猫病五五开吧！,,1级评论,6,2,2025-03-26 11:36:41
饭堂小猛虎,保密,你开过高速吗，我长期在高速上见到猫饼，狗饼很少,西部婚纱悍匪,2级评论,4,3,2025-03-28 10:40:21
西部婚纱悍匪,男,回复 @饭堂小猛虎 :没有，我一般都跃迁...,西部婚纱悍匪,2级评论,6,2,2025-03-28 11:10:27
多啦b美,保密,那个狗考驾照怎么考，我想让我家狗去考个,,1级评论,6,2,2025-03-25 13:44:11
乘梦而行,保密,但愿我别碰上，不然我只能送猫走了。,,1级评论,5,2,2025-03-19 08:35:28
天依vc521,保密,经历某些事过后，就知道为什么路上总是哈基饼了，上次我骑个电动车在路边停下看手机，然后有个哈基咪叫了两声就朝我走来，到我后座上之后我没理会，接着就跑到我前轮趴下了[笑哭]它不变饼谁变饼,,1级评论,6,3,2025-03-29 10:21:52
青小拧,男,傻猫根本不知道车会压他，过路也不往两边看直接就冲，我家猫就是在家门口被三轮车压死了[藏狐],,1级评论,6,3,2025-03-27 15:05:20
起飞ww,保密,真没必要拉踩，猫确实比狗笨，而且狗好驯，但单从宠物角度考虑，猫是比狗好养多了，狗因为天生的基因缺陷没有饱腹感，必须定时定点定量，猫一天的量放那它就能吃一天，而且小狗刚买回家真的很麻烦，从个普通上班族的角度考虑，你要是没法每天每顿饭的准时投喂，没法一直教训它，真不如养猫[辣眼睛],,1级评论,5,3,2025-03-30 00:56:31
又TM喂猪了,保密,只需要一个星期狗狗就会化成水,,1级评论,5,1,2025-05-11 17:34:42
笙歌嫚嫚,保密,因为猫是唇笔,,1级评论,6,1,2025-05-07 23:26:15
猫猫师长,男,猫看到车还会往它底下钻，这是最无语的，它想躲到一个地方藏起来主要是[笑哭],,1级评论,5,1,2025-05-07 23:23:35
lcmgghao,保密,机车族战士击杀了猛兽族战士[星星眼],,1级评论,4,1,2025-04-27 19:19:25
Rifux,保密,尸体暖暖的☺️,,1级评论,6,1,2025-05-04 01:03:29
名称不涉嫌违规,男,这应该不是猫，猫没那么扁,,1级评论,6,1,2025-04-19 07:45:16
前世劫灰,保密,雨夜，蠢猫看见车来了，不但不躲，还跟我玩竞速,,1级评论,6,1,2025-04-06 15:41:21
冲啊拼了不白给,男,狗饼也有的，除了视频里说的原因外，狗饼会被人捡走，而且因为有些狗饼体积大，是实实在在比较容易看到，然后对交通还是有一定影响，很快就被清掉了。,,1级评论,6,1,2025-04-06 14:43:09
Aries密苦羊,保密,说到这个就神奇，我表弟之前捡了一只狗，后来狗就跟着他，他不管去哪狗都跟着，上次表弟带着他去了十几公里外的老家，忘记带回来了，跟那边打电话说没看到，结果当天下午自己狗就来到家门口了，爪子都磨出血了，周围路上可都是车啊,,1级评论,4,1,2025-04-05 14:59:16
驰大大呦,保密,难道不是因为城市里面的流浪狗都被处理了吗[思考][思考],,1级评论,6,1,2025-04-05 12:46:19
可币-不赖奀忒,保密,说白了就是猫智商太低，根本理解不了人类社会中的一些事物,,1级评论,5,1,2025-04-05 12:42:39
HesYLLe,保密,我家狗离100米就开始躲车，把自己命看的无比重要，可爱得很,,1级评论,6,1,2025-04-04 12:15:59
玲奈才不是傲娇呢,男,狗子体型大，更多是被撞飞,,1级评论,6,1,2025-04-04 10:02:17
夏日蝉鸣与晚风,男,蠢猫[笑哭],,1级评论,4,1,2025-04-04 09:24:07
名称不涉嫌违规,男,地上的应该不是猫，猫没那么扁,,1级评论,6,1,2025-04-04 08:13:10
土豆子关瑞生,保密,喜剧不断上演,,1级评论,5,1,2025-04-03 18:43:10
感谢个戒疤,保密,给一个猫脑袋压爆浆了[笑哭]。看后视镜脑袋扁扁的。突然冲出来防不住啊,,1级评论,6,1,2025-04-03 17:35:29
步走寻昆路,保密,大部分是鼠饼，猫饼也不少,,1级评论,5,1,2025-04-03 08:44:23
跳起来就是亿jio,男,还好我家猫胆小，根本不敢出门,,1级评论,6,1,2025-04-03 08:38:19
跳起来就是亿jio,男,[星星眼]它只会在院子里玩，家人都很注意进出门关门,跳起来就是亿jio,2级评论,6,0,2025-04-03 08:39:09
跳起来就是亿jio,男,回复 @跳起来就是亿jio :[辣眼睛]我知道，它可能比那些猫饼更傻,跳起来就是亿jio,2级评论,6,0,2025-04-03 08:39:54
雨烟---,保密,[笑哭]我老家乡下的狗冬日午后躺马路中间黄线上晒太阳，那里阳光好地面热车也少，从老家回来路上不下五只狗这么干，真是神奇。,,1级评论,5,1,2025-04-03 01:49:48
阿瑞今天飙车了没,保密,我们这里农村比较多蛇条[笑哭],,1级评论,6,1,2025-04-02 17:44:06
儒鼠神偷,保密,所以还是猫的问题，不怪马路[嗑瓜子],,1级评论,5,1,2025-04-02 13:18:59
井盖来不拉力,男,省道骑摩托车回家，猫看到你车轮子我都刹车了，它会直接往你轮子上钻，好几次了，完全搞不懂，狗子会停下来看，你让它，它就过，你不让他它，它就停,,1级评论,5,1,2025-04-02 12:50:43
井盖来不拉力,男,省道骑摩托车回家，猫看到你车轮子我都刹车了，它会直接往你轮子上钻，好几次了，完全搞不懂，狗子会停下来看，你让它，它就过，你不让他它，它就停,,1级评论,5,1,2025-04-02 12:50:43
晚风与你皆我独爱,女,因为狗比较大，是撞死，猫小，被轮胎压死[微笑],,1级评论,5,1,2025-04-01 21:08:00
灵丨溪风,保密,哈哈哈，红字笑死我了[doge],,1级评论,5,1,2025-04-01 16:08:35
霏雨浅浅,女,塞伯坦人撸猫哈哈哈哈[笑哭],灵丨溪风,2级评论,6,0,2025-04-21 19:01:28
键师傅,男,我骑车路上，路边的狗看到了第一反应是躲开，但是猫的第一反应竟然是加速冲过去，然后又错误的计算了车的速度和自身的速度[无语][无语],,1级评论,6,1,2025-04-01 15:51:38
゚゚゚゚゚゚爱莉希雅,保密,世界破破烂烂，小猫缝缝补补,,1级评论,6,1,2025-04-01 04:13:44
Hotung-,保密,就是狗比猫智商高,,1级评论,5,1,2025-04-01 01:04:29
诺格弗格药剂师,保密,就是因为狗聪明 猫蠢,,1级评论,5,1,2025-04-10 15:54:17
好名字都让人起了,保密,因为好狗不挡道，,,1级评论,5,1,2025-03-31 13:10:41
Guts-格斯,男,路上最多的就是猫饼，鸡饼和鸭脖[doge],,1级评论,6,1,2025-03-31 09:47:10
奥兰度_,保密,宠物被均匀涂抹在马路上,,1级评论,5,1,2025-03-31 05:43:32
月休28天,保密,我农村老家的猫几乎都不得善终，大多都是被撞死和药死,,1级评论,6,1,2025-03-30 20:55:09
那位辣条,男,不走自舒不舒自走,,1级评论,5,1,2025-03-30 13:53:01
给自己留下童年的回忆,保密,看的见狗饼。你看不见是因为你在的地方狗不多。以前我们这有一条路刚开通。第一天十字路口就有十几个车饼。狗饼每天都有那片都没狗了,,1级评论,4,1,2025-03-30 11:49:18
会飞的毛毯,男,猫太冲了，不会看形势，狗会察言观色，审时度势，可比猫聪明,,1级评论,6,1,2025-03-30 08:44:56
OrzOT2,保密,[doge_金箍]狗这辈子真是够够的，从远古跟着要饭，到现在跟着坐车、享受人类的滑板玩具[doge_金箍]其他野兽都不知道灭绝多少了,,1级评论,6,1,2025-03-29 20:30:47
-玄冥天君-,保密,马路坑坑洼洼，基米填填补补,,1级评论,5,1,2025-03-29 19:44:03
横枫,保密,上个月九号那天坐货车司机去打工高速公路上就有一条死狗躺在路中间从旁边经过。,,1级评论,4,1,2025-03-29 19:11:47
dyy服了,男,聪明的狗能遵守交规， 老家的德牧帮我去买油条的时候，我偷偷跟过， 虽然红绿灯它大概率不懂，但他知道跟着行人过。,,1级评论,5,1,2025-03-29 18:24:40
黎遊,保密,飞舞哈鸡猫,,1级评论,6,1,2025-03-29 16:39:27
我不认为这是正确的,保密,@Ermeng4rde,,1级评论,4,1,2025-03-29 16:03:27
锦书终玉帛,男,狗真的nb，我在老家真的见到了一次狗在等红绿灯走斑马线[笑哭],,1级评论,5,1,2025-03-29 16:02:32
长空同志,男,"我记得地毯好像叫carpe
那么这是否意味着就是被车(car)压过的宠物(pet)就是地毯（carpet）呢",,1级评论,5,1,2025-03-29 15:37:20
YOU爱Heaven,保密,这边的狗都会过马路 而猫不会,,1级评论,5,1,2025-03-29 15:17:55
MW_Lt,男,我这见的大部分是鸟饼和袋鼠饼，上次亲眼看着一只袋鼠向中世纪骑士一样冲向对向车道的数值怪，然后直接去二次元了,,1级评论,6,1,2025-03-29 15:10:26
太湖樱花,保密,只是狗被撞会飞出去，跑出去就死了，猫体型小直接压扁,,1级评论,6,1,2025-03-29 14:20:31
洛雪等我,保密,因为猫没脑子,,1级评论,6,1,2025-03-29 13:06:35
咸鱼hg,保密,有狗饼，比较少而已，而且是只小型犬,,1级评论,5,1,2025-03-29 12:29:15
love可爱的骨头,男,狗饼也是有的，猫饼更多一点。狗小时候出车祸概率大，长大了会好很多。猫不管大小都容易出车祸。[doge],,1级评论,6,1,2025-03-29 11:57:11
没有痛苦的逝去,男,猫饼是真的喜欢,,1级评论,4,1,2025-03-29 11:44:26
顿顿吃小孩7,保密,猫这玩意好奇心太重,,1级评论,3,1,2025-03-29 11:18:26
只是一只白鸽,男,这么说吧，狗会在人行道等机会过去，是我昨天等红灯的时候亲眼所见。,,1级评论,6,1,2025-03-29 10:03:31
来自蛙蛙的死亡凝视,保密,贵州高速刚通的时候路上狗饼可多了，我妈开车带我回一趟外婆家一路上五六张狗饼，后来应该是敢上高速的狗都死得差不多了，就没再看到了[笑哭],,1级评论,6,1,2025-03-29 10:05:23
来自蛙蛙的死亡凝视,保密,回复 @丞丶静默时光 :就算不理解的也能看懂这玩意会要狗命,来自蛙蛙的死亡凝视,2级评论,6,1,2025-03-29 10:13:57
丞丶静默时光,男,回复 @来自蛙蛙的死亡凝视 :确实，但是猫猫是真的理解不了，我看到的猫饼比其他动物都多，排名第二的是鼠饼[doge],来自蛙蛙的死亡凝视,2级评论,6,0,2025-03-29 10:24:13
琉璃莹鸢,保密,还有鼠片呢,,1级评论,5,1,2025-03-29 09:58:09
叮咚鸡骑建钢马大狗叫,男,见最多的是鼠饼蛙饼鸟饼，猫饼好像也不常见,,1级评论,5,1,2025-03-29 09:45:01
南宫流云仙,男,狗确实聪明，我们这有只柴犬它每天的娱乐活动就是跑城里去玩，至少得有一两公里路，但是都跑了七八年了，其中还要经过一条半挂车走的公路,,1级评论,6,1,2025-03-29 09:10:18
纯纯纯的纯粹,保密,有次夜晚开车离远我就看见猫往路中的石墩跑，我快到时它刚好跳上石墩谁知道那神经病都跳上去了还往回跳被车后轮碾压。,,1级评论,6,1,2025-03-29 08:45:34
ああああああユユユ,保密,为什么那些是饼，不是血,,1级评论,3,1,2025-03-29 08:36:49
Rutter_,男,确实目前为止还没见过狗饼，猫饼到见过几次,,1级评论,6,1,2025-03-29 06:24:34
海上骑士长,保密,逆天朋友，拿路边死猫肠子，追着我甩。[捂脸],,1级评论,3,1,2025-03-29 05:56:33
啊b的幽默删评机制,保密,总感觉是因为猫容易对着车开启棘龙姿态,,1级评论,6,1,2025-04-07 22:31:55
尼罗鳄奶酪_-元明是我,男,可能是北方比较冷的原因，我们这连鼠片都很少见到,,1级评论,3,1,2025-04-07 22:29:03
铭心此誓,男,猫饼真是扣都扣不起来，我去学车那时候几乎一天见一个,,1级评论,6,1,2025-03-29 02:15:25
雀石厉害,男,所以“有毛病”这话不是乱说的[歪嘴],,1级评论,6,1,2025-03-29 01:59:58
阿奇达53,男,我见过最多的是鼠片,,1级评论,5,1,2025-03-29 00:14:58
银河之王塔姆,保密,老家好多蛇饼,,1级评论,5,1,2025-03-28 23:37:42
阎乐qwq,男,"由长颈鹿吃不到高处的树叶而淘汰脖子短的长颈鹿可知，压死社会化差的猫恰恰是在帮助猫猫社会化，社会化差的死了，好的相互繁衍，从而使猫猫社会化越来越好。
所以，不要刹车[doge]",,1级评论,6,1,2025-03-28 23:31:52
秋邺丶,男,@音理neri,,1级评论,6,1,2025-03-28 23:17:55
我要去睡_觉,保密,黄大仙饼[doge],,1级评论,6,1,2025-03-28 22:56:01
天亞,保密,有些狗它老了，看见车也不会去躲它，相反，他看到车反而会去碰这辆车，有些车主非常良心，怕这个老狗死掉了，会下车观察狗的状况，但是这条狗不但不感谢，反而还会爬起来咬车主的一条腿,,1级评论,4,1,2025-03-28 22:35:41
克苏鲁公主,保密,我咋啥都没看见呢？,,1级评论,5,1,2025-03-28 22:30:50
赩鸆忄,男,小时候见过各种饼 ，猫饼，鼠饼，狗饼，鸟饼，蛇饼，刺猬饼，黄鼠狼饼，狗饼比猫饼少的原因还是因为狗体积大，不会突然乱窜,,1级评论,5,1,2025-03-28 21:23:04
一根油炸土豆条,保密,在过几个月马路上全是辣条[doge],,1级评论,4,1,2025-03-28 20:39:26
benben狗,男,只有一半的狗饼，我看过，另外一半还完好,,1级评论,4,1,2025-03-28 20:16:31
省亿,保密,因为狗大吧，猫除了撞飞一压就没剩多少了[笑哭]，前几天拿快递还差点压倒动物碎片[热],benben狗,2级评论,5,3,2025-03-29 02:45:46
benben狗,男,回复 @省亿 :经常在那些小路那里可以看到鼠饼，还有蛙饼,benben狗,2级评论,4,0,2025-03-30 11:03:39
Agressiff,男,主要是流浪猫多，猫吃得少好活，狗还有城管管理,,1级评论,5,1,2025-03-28 20:06:45
徐坤之篮球梦想,女,"Cat 
Cat 
Baka（",,1级评论,5,1,2025-03-28 19:15:33
超酷的小钰,女,猫智商低,,1级评论,6,1,2025-03-28 18:50:37
灼眼的安娜,保密,蛤蟆饼比较多[笑哭],,1级评论,5,1,2025-03-28 16:55:03
Azure21st,男,我见过猫对着停着的汽车哈气[微笑]，有可能是那种老汽车圆圆的车灯像某种动物的眼睛？,,1级评论,5,1,2025-03-28 10:01:07
被遗忘的狐狸,男,过桥洞前挡风撞死过一只蝙蝠，粘在前挡风上的碎肉用雨刮器都刮不干净。还有一只不知道什么鸟，大概乌鸦大小，眼看着要撞到车侧面了，结果想从我车的前轮和后轮之间飞过去，我当时车速大概40多，结果变成地上一摊了,,1级评论,6,1,2025-03-28 08:20:30
又在雨季写诗,保密,我晚上开车回家70多公里，看到不下10次猫横穿马路都是我车开的很近的时候突然窜出来[热],,1级评论,6,1,2025-03-27 23:08:23
寂寞繁花,保密,很少有狗饼，但是小狗崽不懂也会被车压脚压饼什么的，在马路边经常看到狗一瘸一拐的[笑哭],,1级评论,6,1,2025-03-27 22:21:28
弎叶草,保密,我见过狗饼，但跟猫不一样，狗体型大，被压碎了，一般看不出形状，就一地糊糊碎肉,,1级评论,6,1,2025-04-05 15:06:59
三元四喜五门齐,保密,过年期间高速上还是会有狗饼的，因为一小部分狗听到鞭炮声会受惊,弎叶草,2级评论,5,1,2025-04-07 16:55:34
羊驼獸,男,小学走路回家看见过泰迪狗饼，整只狗被压得肚子爆开肠子流出来了,弎叶草,2级评论,5,0,2025-04-14 17:32:56
叶除栖,女,爱猫女孩⚠️建议学校多种点百合，一劳永逸😌,,1级评论,6,1,2025-03-26 14:51:44
超级诚实懂哥爱死番薯,保密,我看过的狗饼鼠饼不少，猫饼见过一次，比我见过的人饼还少[笑哭],,1级评论,6,1,2025-03-26 12:41:52
黑头股沟,男,猫子跑一半它能调头往回跑然后跑车轮下头，不调头它能跑过去。,,1级评论,6,1,2025-03-26 12:40:53
布兰缇什,保密,我在农村见到最多的就是猫片鼠片还有蛤蟆片,,1级评论,6,1,2025-03-26 12:23:05
真的Whoops,保密,我小学见过狗饼，眼珠子都拉长挤出来了，印象深刻[辣眼睛],,1级评论,5,1,2025-04-05 07:22:15
毫无存在感空气透明人,保密,狗的体型也是很大一个原因，不容易成饼,,1级评论,2,1,2025-03-26 10:53:57
本子多多,保密,我小学时候见过被压了的狗 当时坐公交车上学 路上等红绿灯看见一只躺在马路上的狗  脑壳被压破了脑浆流一地 还没死 眼睛还在转到处看还喘气,,1级评论,5,1,2025-03-26 09:15:33
西皮不嘻皮,保密,狗的体型大些和爆发速度快些，所以狗冲马路被撞一般是躯体被撞到侧面或者前方，被绞到轮胎底下的机会比较小，而被撞飞的狗一般还能跑一会儿，可能是跑到哪个绿化带或者跑回家，嗝屁还能留个全尸。,,1级评论,5,1,2025-03-26 08:59:49
LHYoung,保密,总之就是，智商问题！,,1级评论,6,1,2025-03-26 06:29:44
柿布柿油猫饼,保密,这是在给马路配平呢,,1级评论,4,1,2025-03-26 02:07:23
老shift,男,猫蠢,,1级评论,6,1,2025-03-26 01:55:46
我大刺客信条,男,猫没狗聪明,,1级评论,6,1,2025-04-04 17:37:23
读诗中字看枝上雪,保密,猫脑子小，有些猫可以躲避有的猫不行猜测是杂交脑子更不行，我没实际测量数据，纯纯是看别人科普杂交的猫脑子就是不行,,1级评论,6,1,2025-03-25 20:20:42
红色角马-,保密,还有薯饼，狗饼是真没见过,,1级评论,4,1,2025-04-04 16:18:33
太阳王子,保密,狗看不懂红绿灯，但亲眼见到不少狗会在红绿灯旁等所有车停下来才过去[喜极而泣],,1级评论,6,1,2025-04-04 15:01:39
雲雀恭彌的雲豆,男,平时不是高速的话很少会有狗饼的，狗就是比猫聪明，大多数狗不会把车当大型动物，而且他们会跟着人过马路不会乱窜,,1级评论,6,1,2025-04-04 12:24:20
雲雀恭彌的雲豆,男,猫饼在路上见过三回,,1级评论,6,1,2025-04-04 12:13:49
离谱-六百六十六,男,嗯，猫饼，鼠片，蛇内克，在我这边非常的常见,,1级评论,4,1,2025-04-04 10:28:23
囧建国,男,我在路上看到的旺柴基本上都会走斑马线，然后一看二慢三通过,,1级评论,6,1,2025-04-04 08:50:23
电电将軍,男,"高速路左边护栏下面经常有猫饼，应急车道少一点
至于路中间的嘛，要么被压到路两边，要么就是饼摊太大看不见了",,1级评论,6,1,2025-03-25 09:14:32
艾德斯伯格的达莉丝,男,开车久了，都会压死几只猫，特别是在晚上。,,1级评论,5,1,2025-04-03 17:33:20
CringeLord,男,社会化程度确实低，我妈家的狗一天要溜三四次，我给我家猫抱去洗个澡就跟要杀了他似的，就这水平，人类世界理解不了一点。,,1级评论,6,1,2025-04-03 13:31:24
Samhonfy,保密,体型小的就成饼，体型大的会被撞飞，还有一点体型大容易被发现，我在路上经常看到狗子横穿马路，有的车还要躲狗子，就是不小心撞到压到，那个狗子也会挣扎起来走掉，看来up基本没有开车上过路,,1级评论,6,1,2025-04-03 12:16:51
某水大叔,保密,印象最深刻那个猫饼，躯干被碾，臀部和头没压着，当时还没凉透，尾巴直直的竖起来[无语],,1级评论,6,1,2025-04-03 10:44:16
HyperPoison,保密,今年春节开高速2小时看到起码5只哈基饼 这要是夏天不得直接铁板哈基饼了,,1级评论,6,1,2025-04-03 09:15:06
更多的生命上限,男,猫饼笑传之car cat 饼,,1级评论,6,1,2025-04-02 13:12:07
七七-巡猎,保密,我还真没见过猫饼，广西农村的，见过最多的是鼠饼，其次是蛇饼，然后是鸟饼，记得附近是有猫的，天天逗猫玩儿来着,,1级评论,5,1,2025-04-02 05:45:38
BlueVitriol,保密,🐱：狗学长这招太狠了,,1级评论,6,1,2025-04-01 11:07:27
崩牙齿轮,保密,鼠片也是不少[吃瓜],,1级评论,5,1,2025-03-31 14:18:45
泽若-ze,男,我这边鼠片多一些,,1级评论,5,1,2025-03-31 05:47:50
琴殇灬夏末,保密,猫智商没狗高，而且随时可能野化，一发情就跑出去不回来了野化成野猫。,,1级评论,5,1,2025-03-31 03:21:11
荆州市有关部门,保密,"遇到过人饼[捂脸]，318国道大概率大货车压的。
他儿子用蛇皮袋装用铁锹铲[阴险]，全身只剩鞋子完整。",,1级评论,5,1,2025-03-30 16:46:31
曼波难藏哈基米,女,道路破破烂烂，基米缝缝补补😭😭😭,,1级评论,5,2,2025-03-30 12:42:52
小王不会飞light,保密,主要是猫的延展性比较好[妙啊],,1级评论,5,1,2025-03-30 09:27:05
清风明月相拥此夜,男,鸡跟猫纯脑瘫，会冲你轮胎，折返跑的那种，防不胜防，鸭子呆呆的会站着不动，狗聪明点会躲,,1级评论,6,1,2025-03-30 09:15:37
醉饮清风李钰琨,男,这只是占比很小的原因之一，最重要的原因是流浪狗都被捕杀差不多了，数量很少，而流浪猫不光没被捕杀，还有不少人在养、丢弃，数量是一直在增加的。群体基数不一样当然看到猫饼多,,1级评论,6,1,2025-03-30 07:41:40
Cuikangyu,男,猫脑子不太行，都过了马路了绝对安全的，我路过它突然窜出来往原先方向跑，跑到路中间差点让我撞了,,1级评论,6,1,2025-03-29 22:01:48
鼬Zarz,男,狗见了车赶紧躲，猫见了车先哈气,,1级评论,4,1,2025-03-29 20:53:18
感悦工作室,保密,马路上狗被压死是来不及跑，猫被压死纯粹是不跑,,1级评论,4,1,2025-03-29 18:59:13
_青山骨,保密,想多了，狗体型比较大，压不成饼而已，我看到过狗被压，眼珠子爆出来但是还连着，在那又被压了几次后就被看到的人提溜走了,,1级评论,4,1,2025-03-29 18:22:36
如果再相逢如初见,保密,之前看到个神人评论说其实猫比狗聪明很多，但是狗被撞死之后都被人捡走吃了[笑哭],,1级评论,6,1,2025-03-29 18:13:42
太空里没有发现上帝,女,国道破破烂烂，猫猫填填补补[打call][打call][打call],,1级评论,5,1,2025-03-29 17:53:24
_西红柿炒番茄zz,男,我有天早上天不亮出门，路上创了只猫，而且遇到不下三次  车开过去一下就冲出来   。明明隔得很远,,1级评论,6,1,2025-03-29 17:40:37
杜鹃啼血入土无痕,保密,猫饼少了鼠饼就会多起来，你更喜欢哪一个？[doge],,1级评论,5,1,2025-03-29 16:21:17
無銘浪客,保密,农村蛇饼蛙饼才是最常见的[笑哭][笑哭][笑哭][笑哭],,1级评论,6,1,2025-03-29 14:58:03
囝糙233,男,省流：狗饼少见而猫饼多见,,1级评论,6,1,2025-03-29 12:40:33
战地军医频道,男,昨天晚上下班，亲眼见到一只狗，专门走斑马线，等红绿灯，太秀了,,1级评论,4,1,2025-03-29 11:43:34
避战什么拘甁夳,保密,想太多，猫蠢到不理解这些的，而且狗被车赶有少数狗会避让，猫只会往前窜，之前路过丁字路口惊到只猫，我路口都过一半了，蠢猫还要突然加速窜过去，我不急刹车直接碾死了，都听见碰车声了，所以就很烦那种爱猫的，这东西又蠢还是独居生物，都不在一个纬度天天在那yy,,1级评论,5,1,2025-03-29 11:38:54
南无基督天尊,保密,有的狗也不太聪明[笑哭]去我爸单位的时候遇见一条，它过马路车来了，吓得他它跑回来，半天不敢走，然后敢走的时候又来一辆，它又吓的不敢走，好在晚上车少没有第三辆了，它等了一阵才过去[doge_金箍],,1级评论,6,1,2025-03-29 11:03:10
日刚月柔,保密,我家笨猫喜欢在公路上打滚，然后就变饼了[无语],,1级评论,5,1,2025-03-29 10:53:06
改昵称真难已存在,保密,"猫这种东西轮子随便一卷就进去了，饼轻松做的
狗饼也有，以前比较多，现在遛狗都栓绳。一次我早晨出来，看见一条大型犬在马路上要过马路，有汽车从它前面开过去挡住它了，它凭借着优秀的动态视力，在汽车前轮过去以后钻进了车底……然后后轮就也过去了，正好压它腰上，狗蜷起来，用前腿拖着屁股跑回主人身边，不过马路了，不知后来死了没有，我看死的面大。",,1级评论,6,1,2025-03-29 10:27:10
胡一枝,男,狗饼的确比较少见，而且狗也的确比猫会过马路,,1级评论,6,1,2025-03-29 08:55:44
